Question,Golden reponse
La réouverture des commerces,"Les commerces de détail ayant une entrée extérieure habituellement utilisée par la clientèle pourront rouvrir.
La date de réouverture pour les commerces situés à l’extérieur de la communauté métropolitaine de Montréal est le **lundi 4 mai 2020**.
Pour les commerces de la communauté métropolitaine de Montréal, la date de réouverture est le **lundi 25 mai 2020**.
Les commerces qui n’ont pas d’entrée extérieure habituellement utilisée par la clientèle doivent rester fermés jusqu’à nouvel ordre.
Pou [...]",1
numéro de téléphone?,"Le secteur de la construction, incluant :
*   Firmes de construction pour réparations d’urgence ou pour fins de sécurité
*   Électriciens et plombiers et autres corps de métiers pour des services d’urgence
*   Équipements de location
*   Aménagement et entretien paysagers (incluant pépinières, centres jardin et commerces de piscines)
*   Construction et rénovation d’habitations résidentielles, pour tout immeuble où la prise de possession d’une unité résidentielle doit avoir lieu au plus tard le  [...]",0.251
qu'en est-il des centre de formation professionnelle  des adultes ? ,"Lorsque les milieux de stage ont confirmé la continuité de leurs services, que les étudiants évoluent dans un endroit où les consignes de la Santé publique sont respectées et que les étudiants peuvent réaliser leur stage, par exemple en recourant au télétravail, les stages sont possibles. Cependant, aucun étudiant ne peut être pénalisé en raison de son incapacité à répondre aux exigences.",0.652
faut-il être à temp plein au travail pour recevoir cette prestation?,"Pour outiller les secteurs offrant des services et activités prioritaires dans la mise en place de mesures de prévention, l’Institut national de santé publique du Québec (INSPQ) a produit différentes recommandations intérimaires. Celles-ci présentent des mesures à appliquer afin de protéger la santé de ceux qui fréquentent ces milieux de travail. Ces documents sont disponibles [sur le site de l’INSPQ](http://www.inspq.qc.ca/COVID-19/sante-au-travail) .
Des outils à l’attention des établissements [...]",0.175
je réside a rimouski  je doit aller a québec chercher le contenue de son appartement  je doit me mettre en quarantaine oui ou non  ,"Toute personne ayant fréquenté tout lieu public doit surveiller ses symptômes et respecter les consignes sanitaires suivantes :
*   [Lavez-vous les mains](https://www.quebec.ca/sante/conseils-et-prevention/prevention-des-accidents-des-lesions-et-des-maladies/lavage-des-mains/) souvent à l'eau tiède courante et au savon pendant au moins 20 secondes.
*   Utilisez un désinfectant à base d'alcool si vous n'avez pas accès à de l'eau et à du savon.
*   Observez les règles d'hygiène lorsque vous tousse [...]",0.4
est-ce que je peux garder les enfants de mon ami,"Il est possible d’aller livrer de l’épicerie à une personne âgée ou une personne ayant un système immunitaire affaibli uniquement si vous ne présentez aucun symptôme et ne revenez pas de voyage depuis moins de 14 jours. En tout temps, il importe de conserver une distance entre les personnes, d’éviter les contacts directs et de respecter les règles d’hygiène habituelles lorsque vous toussez ou éternuez.",0.212
nous joindre,#!builtin_text-bz4RRq,0.161
Symptômes et traitements,"Les établissements des secteurs économiques suivants pourront rouvrir :
*   l’ensemble des secteurs de l’industrie de la construction;
*   les commerces de détail (établissements avec un accès extérieur habituellement utilisé par la clientèle) ainsi que leur chaîne d’approvisionnement;
*   les entreprises du secteur manufacturier.
Pour connaître les dates et modalités encadrant ces réouvertures, consultez la page [Reprise graduelle des activités en lien avec les mesures de ralentissement de la C [...]",1
j'ai mal à la gorge. dois-je consulter un médecin ?,"Des médicaments en vente libre peuvent être utilisés pour soulager les symptômes de la maladie à coronavirus (COVID‑19). Avant d’en faire usage, lisez attentivement les étiquettes et respectez les doses recommandées. **Il est fortement recommandé de demander conseil à votre pharmacien** avant d’utiliser des médicaments en vente libre en présence de symptômes. Évitez de prendre en même temps des produits qui contiennent les mêmes ingrédients comme du Tylenol MD et du Tylenol sinus [...]",0.364
la réouverture des autres entreprises ,"Ces changements sont en vigueur et seront réévalués au 31 mai 2020. Le gouvernement du Québec invite la population à rester à l’affût.
Les pharmacies, les épiceries et les autres commerces d’alimentation ainsi que les établissements offrant des services d’épicerie ou de pharmacie en dehors des centres commerciaux pourront continuer d’étendre leurs heures d’ouverture au-delà des périodes légales du lundi au samedi jusqu’au 31 mai 2020. Aucune restriction quant au nombre d’employés présents pour a [...]",0.345
Tu m'énerves,Désolé. Je ne suis pas un robot de conversation. Mon rôle est de répondre le plus efficacement possible à vos questions sur la COVID-19.,1
le covid-19 survie combien de temps sur les surfaces contaminées,"Le coronavirus (COVID‑19) peut vivre sur les objets et surfaces. Sa durée de vie est de :
*   3 heures sur les objets avec surfaces sèches;
*   6 jours sur les objets avec surfaces humides.
Il est donc important que vous laviez les comptoirs, les lavabos, les poignées de porte et toutes les surfaces fréquemment touchées par les mains. Le nettoyage et la désinfection sont très efficaces pour éliminer le virus.
*   Pour nettoyer, utilisez de l’eau et du savon ou des produits de nettoyage a [...]",0.389
"a quand l,ouverture des salons de coiffure","Ces changements sont en vigueur et seront réévalués au 31 mai 2020. Le gouvernement du Québec invite la population à rester à l’affût.
Les pharmacies, les épiceries et les autres commerces d’alimentation ainsi que les établissements offrant des services d’épicerie ou de pharmacie en dehors des centres commerciaux pourront continuer d’étendre leurs heures d’ouverture au-delà des périodes légales du lundi au samedi jusqu’au 31 mai 2020. Aucune restriction quant au nombre d’employés présents pour a [...]",0.276
si je vais à la pêche à la journée est-ce que je peux embarquer avec mon beau frère pour me rendre au lac de pêche ,Consultez la politique de la plateforme d’hébergement collaboratif en question. La plupart ont convenu de mesures de soutien en lien avec la crise sanitaire actuelle ou prévoient des clauses pour force majeure.,0.188
je crois que vous avez mal compris ,"En décembre 2019, l'Organisation mondiale de la Santé a été alertée de plusieurs cas de pneumonie à Wuhan, en Chine. Le virus responsable de la maladie ne correspondait à aucun autre virus connu. Le 7 janvier 2020, la Chine a confirmé avoir détecté un nouveau virus de la famille des coronavirus responsable de cette nouvelle maladie nommée la COVID‑19.
Pour en savoir plus, consultez la page sur la [Situation du coronavirus (COVID‑19) au Québec](https://www.quebec.ca/sante/problemes-de-sante/a-z/c [...]",0.317
Protéger nos personnes âgées,"80 % des personnes infectées guérissent sans traitement particulier.
Il existe des groupes de personnes à risque de décéder à la suite des complications respiratoires graves si elles sont infectées par le coronavirus. Il pourrait s’agir d’une pneumonie ou d’un syndrome respiratoire aigu.
**Les personnes infectées au coronavirus (COVID-19) à risque de décès sont :**
*   les personnes âgées de 70 ans et plus;
*   les personnes avec les conditions suivantes :
    *   maladies chroniques cardiaques; [...]",0.193
Information sur l'accès aux installations des municipalités,"Oui, il est recommandé d’élaborer un plan particulier d’intervention en cas d’épidémie ou de pandémie.
Le ministère des Affaires municipales et de l’Habitation a préparé un guide pour soutenir le milieu municipal à cet égard :
*   [Guide pour l’élaboration d’un Plan particulier d’intervention en cas d’épidémie et de pandémie à l’intention des municipalités (PDF 1,14 Mo)](https://cdn-contenu.quebec.ca/cdn-contenu/adm/min/affaires-municipales/publications-adm/documents/COVID-19/covid19_guide_aux_m [...]",0.788
aide financière aux études,"Si vous ou votre enfant avez des irritations de la peau ou une réaction allergique ou inflammatoire de la peau lorsque vous vous lavez les mains avec du gel hydroalcoolique, veuillez cesser l’utilisation de ce produit. Utilisez plutôt de l’eau et du savon pour vous laver les mains. Le lavage fréquent des mains et le lavage des mains avec du gel hydroalcoolique peuvent causer une sécheresse de la peau. Afin de prévenir cette sécheresse, il est recommandé d’appliquer de la crème hydratante sur les [...]",0.565
entretien ménager residentiel,"*   Privilégiez les produits du Québec au moment de vos achats. Diverses inscriptions facilitent le repérage de ces produits en magasin. Vous pouvez notamment vous renseigner sur le site [Aliments du Québec](https://www.alimentsduquebec.com/fr/produits-dici) .
*   Faites vos achats dans des commerces locaux consacrés à l’alimentation ou directement auprès des entreprises agricoles ou de transformation locales. [Le Panier bleu ](https://lepanierbleu.ca/) est une nouvelle plateforme de référence q [...]",0.182
pourquoi recommencer l’école en ligne pour le secondaire?,"**Depuis le 11 mai,** les établissements préscolaires et primaires rouvrent progressivement aux élèves dans l’ensemble des régions du Québec, à l’exception de ceux sur le territoire de la communauté métropolitaine de Montréal (CMM) et sur le territoire de la municipalité régionale de comté (MRC) de Joliette. Ces derniers restent fermés pour les élèves **jusqu’à la fin août**.
Les écoles secondaires demeureront aussi fermées pour les élèves **jusqu’à la fin août**. Les apprentissages à distance d [...]",0.638
